RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),preference_level
21,Hokkaido Cheese Tart - 86 Nguyễn Huệ,10.775218,106.702738,"86 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. HCM","Tiệm bánh, ","Bánh - Kẹo, Ăn vặt - Ăn nhẹ, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Quốc tế, ",no,no,no,29.000 -210.000,8.3,6.8,7.0,moderate
22,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Hòa Bình,10.767504,106.640596,"52C Hòa Bình, P. 5, Quận 11, TP. HCM","Quán ăn, ","Bún, Mì, Món nước, Lẩu, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Món Á, Món Hàn, ",no,no,yes,39.000 -79.000,6.9,6.2,6.6,low
23,BBQ 11 - Hải Sản Tươi Sống & Cơm Trưa,10.7447411,106.6919754,"25 Cư Xá Bình Minh, Dương Bá Trạc, P. 1, Quận 8, TP. HCM","Quán nhậu, ","Hải sản, ",15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,"Món Việt, ",yes,yes,yes,50.000 -800.000,6.4,0.0,6.4,low
24,Joo - Joo Korean Foods,10.891396,106.772849,"179 GS1, Thị Xã Dĩ An, Bình Dương","Quán ăn, ","Thịt Gà, Thịt Bò, Lẩu, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Món Việt, Món Hàn, ",yes,no,yes,35.000 -200.000,7.7,8.3,8.3,high
25,The Pizza Company - Lê Đại Hành,10.768887,106.652564,"Lô 4, Khu B, Căn số 7, Chung cư Phú Thọ, Lê Đại Hành, P. 15, Quận 11, TP. HCM","Nhà hàng, ","Sườn nướng, Chân cánh gà nướng, Pizza & Pasta, Salad, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Món Âu, Ý, ",no,yes,yes,100.000 -250.000,7.7,7.0,7.5,low
26,Gà Nướng Cái Bang - Bà Hạt,10.7655,106.666345,"440 Bà Hạt, P. 8, Quận 10, TP. HCM","Quán ăn, ","Bánh mì, Xôi, Bánh - Kẹo, Cơm, ",10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,,no,no,no,89.000 -159.000,10.0,10.0,10.0,moderate
27,Kem BUD'S - Parkson Cantavil,10.801692,106.746993,"Tầng 5 Parkson Cantavil, 1 Song Hành, P. An Phú, Quận 2, TP. HCM","Café/Dessert, ","Café - Kem, ",09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,"Mỹ, Châu Mỹ, ",no,no,yes,40.000 -88.000,7.0,6.5,6.0,low
28,Lẩu Dê Trương Định,10.778252,106.689273,"105 Trương Định, P. 6, Quận 3, TP. HCM","Quán ăn, ","Thịt Dê, Lẩu, Đặc sản rừng, ",10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,"Món Việt, ",no,no,no,100.000 -220.000,6.1,0.0,0.0,low
29,Z! Cafe - 232 Nguyễn Ái Quốc,10.969756,106.866614,"232 Nguyễn Ái Quốc, Khu Phố 1, Thành Phố Biên Hòa, Đồng Nai",Café/Dessert,"Trà ,  Café - Kem ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt ,  Sữa",06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,Món Việt,no,no,yes,15.000đ - 35.000,6.8,6.5,7.5,low
30,Lẩu Cá Kèo Bà Huyện - 18 Bà Huyện Thanh Quan,10.7765338,106.689051,"18 Bà Huyện Thanh Quan, P. 6, Quận 3, TP. HCM","Quán ăn, ","Hải sản, Lẩu, Cá, Thịt Cừu, ",10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,"Miền Tây, Món Miền Nam, ",no,no,no,40.000 -190.000,6.1,0.0,6.1,low
31,Pizza Hut - Parkson CT Plaza,10.812915,106.66523,"Tầng Hầm B1 Parkson CT Plaza, 60A Trường Sơn, p. 2, Quận Tân Bình, TP. HCM",,,,,,,,,,,yes,yes,yes,200.000 -330.000,7.6,7.6,7.3,moderate
32,Gà Rán KFC - Big C Hưng Phú Cần Thơ,10.014285,105.784199,"Lô Số 1 Khu Dân Cư Hưng Phú 1, P. Hưng Phú, Quận Cái Răng, Cần Thơ","Nhà hàng, ","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Mỹ, Châu Mỹ, ",yes,no,yes,30.000 -88.000,7.8,7.5,7.9,low
33,3 Râu - Gà Rán Pizza & Trà Sữa - 29A Bà Hạt,10.7669146,106.6732702,"29A Bà Hạt, P. 9, Quận 10, TP. HCM",Quán ăn,"Gà rán ,  Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,high
34,Bobapop - Bình Chánh,10.735977,106.674147,"7 Đường Số 5, X. Bình Hưng, Huyện Bình Chánh, TP. HCM","Café/Dessert, ","Trà chanh, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,,0.0,0.0,0.0,low
35,Pappa Roti SG - Võ Văn Ngân,10.8511686,106.7636364,"227A Võ Văn Ngân, P. Linh Chiểu, Tp. Thủ Đức, TP. HCM","Tiệm bánh, ","Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, ",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,"Món Việt, ",no,no,no,12.000 -20.000,7.0,6.0,7.0,moderate
36,Trà Sữa Maycha - Lê Văn Sỹ,10.799249,106.6614458,"483B Lê Văn Sỹ, P.2, Tân Bình, TP. HCM",Café/Dessert,"Trà ,  Thức uống ,  Trà sữa",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,,no,no,no,12.000 - 34.000,1.8,1.8,4.0,low
37,Sukiya - Cơm Bò Hầm & Mì Ramen - Crescent Mall,10.72871,106.718806,"Tầng 5 Crescent Mall, 101 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM","Nhà hàng, ","Thịt Gà, Gà rán, Thịt Bò, Món nước, Mì, Súp, Sushi & Sashimi, Cơm văn phòng, Cơm, Thức uống, ",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"Món Á, Món Nhật, ",no,no,yes,10.000 -100.000,6.8,6.7,7.1,low
38,Gỏi Cá Trích Vũng Tàu,10.484924,107.212237,"100D1 Võ Thị Sáu, KP. Long Tân, Huyện Long Điền, Vũng Tàu","Quán ăn, ",,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,"Món Việt, ",no,no,no,80.000 -155.000,8.5,9.0,8.3,moderate
39,Domino’s Pizza - 324 Huỳnh Tấn Phát,10.750296,106.728566,"324 Huỳnh Tấn Phát, Quận 7, TP. HCM","Nhà hàng, ","Pizza & Pasta, Fastfood - Thức ăn nhanh, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Mỹ, Châu Mỹ, ",yes,no,yes,45.000 -165.000,8.1,7.9,8.2,moderate
40,TOUS les JOURS - Nguyễn Đình Chiểu,10.7884255,106.6994927,"64 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM","Tiệm bánh, ","Bánh sinh nhật/Bánh kem, Bánh - Kẹo, ",08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,"Món Á, Món Hàn, ",no,no,no,10.000 -300.000,6.8,0.0,7.0,low
41,Muteki Brinc Adeira - Japanese Teppanyaki,10.7905398,106.7121222000001,"88 Phạm Viết Chánh, P. 19, Quận Bình Thạnh, TP. HCM","Nhà hàng, Café/Dessert, ","Thịt Gà, Thịt Bò, Rượu vang, Thức uống, ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"Món Á, Món Nhật, Món Hàn, ",no,no,yes,50.000 -400.000,8.2,8.2,7.9,high
42,Gong Cha - Trà & Cà Phê - Thảo Điền Pearl,10.8013462,106.7335076,"L1-23-L1-24, Tầng 1, Thảo Điền Pearl, 12 Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ",09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,"Món Á, Đài Loan, ",yes,no,yes,40.000 -80.000,7.3,6.9,7.4,low
43,Cơm Gà Đông Nguyên - Nguyễn Trãi,10.75284,106.658481,"801 Nguyễn Trãi, P. 14, Quận 5, TP. HCM","Nhà hàng , Quán ăn","Thịt Gà ,  Cơm văn phòng ,  Cơm",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,Món Việt,no,yes,no,50.000đ - 80.000,6.8,6.4,6.3,low
44,Nhà Hàng Long Phụng - Suối Tiên,10.866066,106.802849,"120 Xa Lộ Hà Nội, P. Tân Phú, Quận 9, TP. HCM","Nhà hàng, Tiệc cưới/Hội nghị, ",,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,"Món Việt, Món Á, Món Âu, ",no,yes,yes,1.500.000 -5.500.000,6.2,6.1,0.0,moderate
45,Đà Lạt Phố Cafe - Hồng Bàng,10.7545874807768,106.638327240944,"961 Hồng Bàng, Quận 6, TP. HCM","Café/Dessert, ","Café - Kem, Sinh tố - Nước ép, ",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,"Đà Lạt, Tây Nguyên, ",no,no,yes,30.000 -80.000,0.0,0.0,7.6,low
46,Cơm Tấm Hoàng Gia,10.749731,106.643842,"57 Bửu Đình, Quận 6, TP. HCM",Quán ăn,"Cơm Tấm ,  Cơm",06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,Món Việt,no,no,no,28.000 - 44.000,8.6,7.2,6.8,high
47,ZEN Dimsum,10.946257,106.824289,"41 Võ Thị Sáu, P. Thống Nhất, Tp. Biên Hòa, Đồng Nai",Nhà hàng,"Bánh ướt ,  Cua - Ghẹ ,  Hải sản ,  Cá ,  Mực ,  Bánh - Kẹo ,  Dimsum ,  Thức uống",10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,"Món Á ,  Món Trung Hoa",no,yes,yes,25.000 - 100.000,5.3,5.7,7.3,moderate
48,Phúc Long Lê Văn Sỹ,10.787514,106.678831,"350 Lê Văn Sỹ, P. 14, Quận 3, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Trà sữa, ",08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,"Món Việt, ",no,no,yes,50.000 -200.000,0.0,0.0,0.0,low
49,Royaltea - Nguyễn Xiển,10.843963,106.838096,"Toà S603, Vinhomes Grand Park, P. Long Thạnh Mỹ, Tp. Thủ Đức, TP. HCM","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,"Món Á, ",no,no,yes,25.000 -55.000,6.6,6.8,6.3,high
50,Bánh Canh Cá Lóc Trần - Lê Đức Thọ,10.8405472,106.6792933,"199 Lê Đức Thọ, P. 17, Quận Gò Vấp, TP. HCM","Quán ăn, ","Bún, Miến, ",06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,,no,no,no,10.000 -60.000,0.0,0.0,0.0,low
51,Nhà Nấm - Nem Nướng Đà Lạt,10.779653,106.653673,"373/55 Lý Thường Kiệt, P. 9, Quận Tân Bình, TP. HCM","Quán ăn, ","Bánh tráng, Bánh hỏi, Bún, Bánh - Kẹo, Chả giò, Ăn vặt - Ăn nhẹ, Nem, ",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,"Đà Lạt, Tây Nguyên, ",no,no,no,49.000 -129.000,7.7,7.7,7.6,high
52,Phúc Long Phạm Hồng Thái,10.771489,106.6955685,"42 Phạm Hồng Thái, P. Bến Thành, Quận 1, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Nước ngọt, Trà sữa, ",08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,"Món Việt, ",yes,no,yes,25.000 -77.000,6.8,6.3,7.0,low
53,Gà Rán & Burger McDonald’s Hoang Dieu,10.760234,106.698988,"Chung Cư H3, 384 Hoàng Diệu, P. 6, Quận 4, TP. HCM","Quán ăn, ","Thịt Gà, Gà rán, Hamburger, Café - Kem, Ăn vặt - Ăn nhẹ, Xúc xích, Fastfood - Thức ăn nhanh, ",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,"Mỹ, Châu Mỹ, ",no,no,yes,30.000 -100.000,7.1,6.7,6.8,moderate
54,Trà Sữa ToCoToCo - Nguyễn Tri Phương,10.762822,106.66842,"306 Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM","Café/Dessert, ","Trà, Sinh tố - Nước ép, Thức uống, Trà sữa, Sữa, ",09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,"Món Việt, ",no,no,yes,28.000 -89.000,6.2,0.0,6.6,low
55,Mì Vịt Tiềm A Cón - Quang Trung,10.834256,106.664749,"557 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",,,,,,,,,,,no,no,no,40.000 -80.000,6.4,0.0,0.0,low
56,Phố Nướng Tình Cờ,10.888209,106.788954,"Đường GS01, KP. Tây B, P. Đông Hòa, Thị Xã Dĩ An, Bình Dương","Quán ăn, ","Thịt Bò, Hải sản, Món nước, Lẩu, Đặc sản vùng, ",12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,"Món Việt, ",yes,yes,yes,29.000 -120.000,0.0,0.0,0.0,low
57,Cộng Cà Phê  - Vincom Center,10.7781984,106.7018236,"Tầng B3, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Quận 1, TP. HCM","Café/Dessert, ","Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Sữa, ",,,,,,,,"Món Việt, ",no,no,yes,20.000 -50.000,7.0,7.0,7.5,low
58,PuKa - Sinh Tố & Nước Ép Trái Cây,10.011107,105.76444,"Số 49/7 Trần Hoàng Na, P. Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Café/Dessert,"Sinh tố - Nước ép ,  Thức uống",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,no,no,no,0 - 0,0.0,0.0,0.0,high
59,Bánh Canh Cá Lóc Trần - Kha Vạn Cân,10.8408184,106.7450514,"421 Kha Vạn Cân, P. Linh Đông, Tp. Thủ Đức, TP. HCM","Quán ăn, ","Bún, Hải sản, Món nước, Bánh canh, Cá, Miến, Món Huế, Đặc sản vùng, Home-made, Ăn vặt - Ăn nhẹ, ",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,"Món Việt, ",no,no,yes,10.000 -35.000,7.7,7.6,7.3,low
