RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),preference_level,City,District,Local_address,Min_Price,Max_Price,Avg_Price,Price_range
13,mì quảng chính hiệu,10.840663,106.657208,"163 lê văn thọ, p. 8, gò vấp, tp. hcm",,,,,,,,,,,no,no,no,25.000 -39.000,0.0,6.4,6.1,moderate,tp. hcm,gò vấp,"163 lê văn thọ, p. 8",25000.0,39000.0,32000.0,14000.0
14,texas chicken - sư vạn hạnh,10.7733956,106.6686922,"463 sư vạn hạnh, quận 10, tp. hcm",nhà hàng,"thịt gà, gà rán, hamburger, salad, ăn vặt - ăn nhẹ, nem, xúc xích, fastfood - thức ăn nhanh",10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,10:00 - 21:30,món âu,yes,no,yes,20.000 -295.000,6.7,0.0,6.7,low,tp. hcm,quận 10,463 sư vạn hạnh,20000.0,295000.0,157500.0,275000.0
15,paris baguette - sky garden,10.730292,106.706691,"khu phố sky garden 2, phạm văn nghị - bắc, p. tân phong, quận 7, tp. hcm",tiệm bánh,"bánh sinh nhật/bánh kem, bánh - kẹo, salad",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,"món âu, pháp",no,no,yes,20.000 -66.000,7.6,6.7,7.7,moderate,tp. hcm,quận 7,"khu phố sky garden 2, phạm văn nghị - bắc, p. tân phong",20000.0,66000.0,43000.0,46000.0
16,c.tao - chinese restaurant - vũng tàu,10.3600687,107.0915459,"số 186 đường 2 tháng 9, p. 8, vũng tàu, vũng tàu",nhà hàng,"thịt gà, thịt bò, thịt heo, hải sản, món nước, salad, dimsum, ăn vặt - ăn nhẹ","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 23:00","10:00 - 14:00
17:00 - 22:00","10:00 - 14:00
17:00 - 22:00",,"món á, món trung hoa",yes,yes,yes,50.000đ - 180.000,6.6,6.2,6.9,moderate,vũng tàu,vũng tàu,"số 186 đường 2 tháng 9, p. 8",50000.0,180000.0,115000.0,130000.0
17,lẩu 1 người - lẩu pin,10.8099744,106.6662745,"28 cửu long, p. 2, tân bình, tp. hcm",quán ăn,"thịt gà, thịt bò, thịt heo, hải sản, lẩu, cơm",,,,,,,,"món á, đài loan",no,no,yes,95.000 -105.000,9.0,9.0,8.9,moderate,tp. hcm,tân bình,"28 cửu long, p. 2",74375.0,105000.0,100000.0,10000.0
18,pizza hut - pandora city,10.8064,106.634833,"tầng 4 pandora city, 1/1 trường chinh, p. tây thạnh, tân phú, tp. hcm",nhà hàng,"pizza & pasta, thức uống, nước ngọt, fastfood - thức ăn nhanh",10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,10:30 - 23:00,"mỹ, món âu, ý, châu mỹ",yes,yes,yes,120.000 -330.000,7.5,7.2,7.6,moderate,tp. hcm,tân phú,"tầng 4 pandora city, 1/1 trường chinh, p. tây thạnh",57000.0,197500.0,225000.0,210000.0
19,sushi viên phương mập - hoàng diệu,10.76301,106.7031,"168 hoàng diệu, p. 9, quận 4, tp. hcm",ăn vặt/vỉa hè,"sushi & sashimi, ăn vặt - ăn nhẹ",11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,11:00 - 22:30,"món á, món nhật",yes,yes,yes,1.000 -8.000,7.5,6.9,6.6,moderate,tp. hcm,quận 4,"168 hoàng diệu, p. 9",1000.0,8000.0,4500.0,7000.0
20,tokyo deli express - sushi - tên lửa,10.7503979,106.6112352,"306 - 308 tên lửa, p. bình trị đông b, bình tân, tp. hcm",nhà hàng,sushi & sashimi,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,"món á, món nhật",yes,yes,yes,80.000 -200.000,8.2,8.2,7.8,moderate,tp. hcm,bình tân,"306 - 308 tên lửa, p. bình trị đông b",52500.0,200000.0,140000.0,120000.0
21,hokkaido cheese tart - 86 nguyễn huệ,10.775218,106.702738,"86 nguyễn huệ, phường bến nghé, quận 1, tp. hcm",tiệm bánh,"bánh - kẹo, ăn vặt - ăn nhẹ",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,quốc tế,no,no,no,29.000 -210.000,8.3,6.8,7.0,moderate,tp. hcm,quận 1,"86 nguyễn huệ, phường bến nghé",29000.0,210000.0,119500.0,181000.0
22,sasin - mì cay 7 cấp độ hàn quốc - hòa bình,10.767504,106.640596,"52c hòa bình, p. 5, quận 11, tp. hcm",quán ăn,"bún, mì, món nước, lẩu",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"món á, món hàn",no,no,yes,39.000 -79.000,6.9,6.2,6.6,low,tp. hcm,quận 11,"52c hòa bình, p. 5",39000.0,79000.0,59000.0,40000.0
23,bbq 11 - hải sản tươi sống & cơm trưa,10.7447411,106.6919754,"25 cư xá bình minh, dương bá trạc, p. 1, quận 8, tp. hcm",quán nhậu,hải sản,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,15:30 - 22:00,món việt,yes,yes,yes,50.000 -800.000,6.4,0.0,6.4,low,tp. hcm,quận 8,"25 cư xá bình minh, dương bá trạc, p. 1",50000.0,202000.0,425000.0,750000.0
24,joo - joo korean foods,10.891396,106.772849,"179 gs1, dĩ an, bình dương",quán ăn,"thịt gà, thịt bò, lẩu",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"món việt, món hàn",yes,no,yes,35.000 -200.000,7.7,8.3,8.3,high,bình dương,dĩ an,179 gs1,35000.0,200000.0,117500.0,165000.0
25,the pizza company - lê đại hành,10.768887,106.652564,"lô 4, khu b, căn số 7, chung cư phú thọ, lê đại hành, p. 15, quận 11, tp. hcm",nhà hàng,"sườn nướng, chân cánh gà nướng, pizza & pasta, salad, ăn vặt - ăn nhẹ, nem, fastfood - thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"món âu, ý",no,yes,yes,100.000 -250.000,7.7,7.0,7.5,low,tp. hcm,quận 11,"lô 4, khu b, căn số 7, chung cư phú thọ, lê đại hành, p. 15",56250.0,200500.0,175000.0,150000.0
26,gà nướng cái bang - bà hạt,10.7655,106.666345,"440 bà hạt, p. 8, quận 10, tp. hcm",quán ăn,"bánh mì, xôi, bánh - kẹo, cơm",10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,,no,no,no,89.000 -159.000,10.0,10.0,10.0,moderate,tp. hcm,quận 10,"440 bà hạt, p. 8",62750.0,159000.0,124000.0,70000.0
27,kem bud's - parkson cantavil,10.801692,106.746993,"tầng 5 parkson cantavil, 1 song hành, p. an phú, quận 2, tp. hcm",café/dessert,café - kem,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,"mỹ, châu mỹ",no,no,yes,40.000 -88.000,7.0,6.5,6.0,low,tp. hcm,quận 2,"tầng 5 parkson cantavil, 1 song hành, p. an phú",40000.0,88000.0,64000.0,48000.0
28,lẩu dê trương định,10.778252,106.689273,"105 trương định, p. 6, quận 3, tp. hcm",quán ăn,"thịt dê, lẩu, đặc sản rừng",10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,món việt,no,no,no,100.000 -220.000,6.1,0.0,0.0,low,tp. hcm,quận 3,"105 trương định, p. 6",97750.0,220000.0,160000.0,120000.0
29,z! cafe - 232 nguyễn ái quốc,10.969756,106.866614,"232 nguyễn ái quốc, khu phố 1, biên hòa, đồng nai",café/dessert,"trà, café - kem, sinh tố - nước ép, thức uống, nước ngọt, sữa",06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,06:30 - 22:30,món việt,no,no,yes,15.000đ - 35.000,6.8,6.5,7.5,low,đồng nai,biên hòa,"232 nguyễn ái quốc, khu phố 1",15000.0,35000.0,25000.0,20000.0
30,lẩu cá kèo bà huyện - 18 bà huyện thanh quan,10.7765338,106.689051,"18 bà huyện thanh quan, p. 6, quận 3, tp. hcm",quán ăn,"hải sản, lẩu, cá, thịt cừu",10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,10:00 - 22:30,"miền tây, món miền nam",no,no,no,40.000 -190.000,6.1,0.0,6.1,low,tp. hcm,quận 3,"18 bà huyện thanh quan, p. 6",40000.0,190000.0,115000.0,150000.0
31,pizza hut - parkson ct plaza,10.812915,106.66523,"tầng hầm b1 parkson ct plaza, 60a trường sơn, p. 2, tân bình, tp. hcm",,,,,,,,,,,yes,yes,yes,200.000 -330.000,7.6,7.6,7.3,moderate,tp. hcm,tân bình,"tầng hầm b1 parkson ct plaza, 60a trường sơn, p. 2",74375.0,315000.0,265000.0,130000.0
32,gà rán kfc - big c hưng phú cần thơ,10.014285,105.784199,"lô số 1 khu dân cư hưng phú 1, p. hưng phú, cái răng, cần thơ",nhà hàng,"thịt gà, gà rán, hamburger, ăn vặt - ăn nhẹ, cơm, thức uống, nước ngọt, fastfood - thức ăn nhanh",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"mỹ, châu mỹ",yes,no,yes,30.000 -88.000,7.8,7.5,7.9,low,cần thơ,cái răng,"lô số 1 khu dân cư hưng phú 1, p. hưng phú",30000.0,88000.0,59000.0,58000.0
33,3 râu - gà rán pizza & trà sữa - 29a bà hạt,10.7669146,106.6732702,"29a bà hạt, p. 9, quận 10, tp. hcm",quán ăn,"gà rán, pizza & pasta, xúc xích, fastfood - thức ăn nhanh",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,0 - 0,0.0,0.0,0.0,high,tp. hcm,quận 10,"29a bà hạt, p. 9",,,,
34,bobapop - bình chánh,10.735977,106.674147,"7 đường số 5, x. bình hưng, bình chánh, tp. hcm",café/dessert,"trà chanh, sinh tố - nước ép, thức uống, trà sữa, sữa",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,,no,no,no,,0.0,0.0,0.0,low,tp. hcm,bình chánh,"7 đường số 5, x. bình hưng",,,,
35,pappa roti sg - võ văn ngân,10.8511686,106.7636364,"227a võ văn ngân, p. linh chiểu, thủ đức, tp. hcm",tiệm bánh,"bánh mì, bánh - kẹo, ăn vặt - ăn nhẹ",08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,món việt,no,no,no,12.000 -20.000,7.0,6.0,7.0,moderate,tp. hcm,thủ đức,"227a võ văn ngân, p. linh chiểu",12000.0,20000.0,16000.0,8000.0
36,trà sữa maycha - lê văn sỹ,10.799249,106.6614458,"483b lê văn sỹ, p.2, tân bình, tp. hcm",café/dessert,"trà, thức uống, trà sữa",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,,no,no,no,12.000 - 34.000,1.8,1.8,4.0,low,tp. hcm,tân bình,"483b lê văn sỹ, p.2",12000.0,34000.0,23000.0,22000.0
37,sukiya - cơm bò hầm & mì ramen - crescent mall,10.72871,106.718806,"tầng 5 crescent mall, 101 tôn dật tiên, p. tân phú, quận 7, tp. hcm",nhà hàng,"thịt gà, gà rán, thịt bò, món nước, mì, súp, sushi & sashimi, cơm văn phòng, cơm, thức uống",09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,"món á, món nhật",no,no,yes,10.000 -100.000,6.8,6.7,7.1,low,tp. hcm,quận 7,"tầng 5 crescent mall, 101 tôn dật tiên, p. tân phú",10000.0,100000.0,55000.0,90000.0
38,gỏi cá trích vũng tàu,10.484924,107.212237,"100d1 võ thị sáu, kp. long tân, long điền, vũng tàu",quán ăn,,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,món việt,no,no,no,80.000 -155.000,8.5,9.0,8.3,moderate,vũng tàu,long điền,"100d1 võ thị sáu, kp. long tân",52500.0,155000.0,117500.0,75000.0
39,domino’s pizza - 324 huỳnh tấn phát,10.750296,106.728566,"324 huỳnh tấn phát, quận 7, tp. hcm",nhà hàng,"pizza & pasta, fastfood - thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"mỹ, châu mỹ",yes,no,yes,45.000 -165.000,8.1,7.9,8.2,moderate,tp. hcm,quận 7,324 huỳnh tấn phát,45000.0,165000.0,105000.0,120000.0
40,tous les jours - nguyễn đình chiểu,10.7884255,106.6994927,"64 nguyễn đình chiểu, p. đa kao, quận 1, tp. hcm",tiệm bánh,"bánh sinh nhật/bánh kem, bánh - kẹo",08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,08:30 - 20:30,"món á, món hàn",no,no,no,10.000 -300.000,6.8,0.0,7.0,low,tp. hcm,quận 1,"64 nguyễn đình chiểu, p. đa kao",10000.0,300000.0,155000.0,290000.0
41,muteki brinc adeira - japanese teppanyaki,10.7905398,106.7121222000001,"88 phạm viết chánh, p. 19, bình thạnh, tp. hcm","nhà hàng, café/dessert","thịt gà, thịt bò, rượu vang, thức uống",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,"món á, món nhật, món hàn",no,no,yes,50.000 -400.000,8.2,8.2,7.9,high,tp. hcm,bình thạnh,"88 phạm viết chánh, p. 19",50000.0,247500.0,225000.0,350000.0
42,gong cha - trà & cà phê - thảo điền pearl,10.8013462,106.7335076,"l1-23-l1-24, tầng 1, thảo điền pearl, 12 quốc hương, p. thảo điền, thủ đức, tp. hcm",café/dessert,"trà, café - kem, sinh tố - nước ép, thức uống, trà sữa, sữa",09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,09:30 - 21:45,"món á, đài loan",yes,no,yes,40.000 -80.000,7.3,6.9,7.4,low,tp. hcm,thủ đức,"l1-23-l1-24, tầng 1, thảo điền pearl, 12 quốc hương, p. thảo điền",40000.0,80000.0,60000.0,40000.0
43,cơm gà đông nguyên - nguyễn trãi,10.75284,106.658481,"801 nguyễn trãi, p. 14, quận 5, tp. hcm","nhà hàng, quán ăn","thịt gà, cơm văn phòng, cơm",10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,món việt,no,yes,no,50.000đ - 80.000,6.8,6.4,6.3,low,tp. hcm,quận 5,"801 nguyễn trãi, p. 14",50000.0,80000.0,65000.0,30000.0
45,đà lạt phố cafe - hồng bàng,10.7545874807768,106.638327240944,"961 hồng bàng, quận 6, tp. hcm",café/dessert,"café - kem, sinh tố - nước ép",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,"đà lạt, tây nguyên",no,no,yes,30.000 -80.000,0.0,0.0,7.6,low,tp. hcm,quận 6,961 hồng bàng,30000.0,80000.0,55000.0,50000.0
46,cơm tấm hoàng gia,10.749731,106.643842,"57 bửu đình, quận 6, tp. hcm",quán ăn,"cơm tấm, cơm",06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,06:00 - 15:00,món việt,no,no,no,28.000 - 44.000,8.6,7.2,6.8,high,tp. hcm,quận 6,57 bửu đình,28000.0,44000.0,36000.0,16000.0
47,zen dimsum,10.946257,106.824289,"41 võ thị sáu, p. thống nhất, biên hòa, đồng nai",nhà hàng,"bánh ướt, cua - ghẹ, hải sản, cá, mực, bánh - kẹo, dimsum, thức uống",10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,16:00 - 20:45,10:00 - 13:45,"món á, món trung hoa",no,yes,yes,25.000 - 100.000,5.3,5.7,7.3,moderate,đồng nai,biên hòa,"41 võ thị sáu, p. thống nhất",25000.0,100000.0,62500.0,75000.0
48,phúc long lê văn sỹ,10.787514,106.678831,"350 lê văn sỹ, p. 14, quận 3, tp. hcm",café/dessert,"trà, café - kem, sinh tố - nước ép, thức uống, trà sữa",08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,món việt,no,no,yes,50.000 -200.000,0.0,0.0,0.0,low,tp. hcm,quận 3,"350 lê văn sỹ, p. 14",50000.0,200000.0,125000.0,150000.0
49,royaltea - nguyễn xiển,10.843963,106.838096,"toà s603, vinhomes grand park, p. long thạnh mỹ, thủ đức, tp. hcm",café/dessert,"trà, sinh tố - nước ép, thức uống, trà sữa, sữa",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,món á,no,no,yes,25.000 -55.000,6.6,6.8,6.3,high,tp. hcm,thủ đức,"toà s603, vinhomes grand park, p. long thạnh mỹ",25000.0,55000.0,40000.0,30000.0
50,bánh canh cá lóc trần - lê đức thọ,10.8405472,106.6792933,"199 lê đức thọ, p. 17, gò vấp, tp. hcm",quán ăn,"bún, miến",06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,06:30 - 21:30,,no,no,no,10.000 -60.000,0.0,0.0,0.0,low,tp. hcm,gò vấp,"199 lê đức thọ, p. 17",10000.0,60000.0,35000.0,50000.0
51,nhà nấm - nem nướng đà lạt,10.779653,106.653673,"373/55 lý thường kiệt, p. 9, tân bình, tp. hcm",quán ăn,"bánh tráng, bánh hỏi, bún, bánh - kẹo, chả giò, ăn vặt - ăn nhẹ, nem",09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,09:00 - 23:00,"đà lạt, tây nguyên",no,no,no,49.000 -129.000,7.7,7.7,7.6,high,tp. hcm,tân bình,"373/55 lý thường kiệt, p. 9",49000.0,129000.0,89000.0,80000.0
52,phúc long phạm hồng thái,10.771489,106.6955685,"42 phạm hồng thái, p. bến thành, quận 1, tp. hcm",café/dessert,"trà, café - kem, sinh tố - nước ép, thức uống, nước ngọt, trà sữa",08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,08:00 - 21:30,món việt,yes,no,yes,25.000 -77.000,6.8,6.3,7.0,low,tp. hcm,quận 1,"42 phạm hồng thái, p. bến thành",25000.0,77000.0,51000.0,52000.0
53,gà rán & burger mcdonald’s hoang dieu,10.760234,106.698988,"chung cư h3, 384 hoàng diệu, p. 6, quận 4, tp. hcm",quán ăn,"thịt gà, gà rán, hamburger, café - kem, ăn vặt - ăn nhẹ, xúc xích, fastfood - thức ăn nhanh",07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,07:00 - 23:00,"mỹ, châu mỹ",no,no,yes,30.000 -100.000,7.1,6.7,6.8,moderate,tp. hcm,quận 4,"chung cư h3, 384 hoàng diệu, p. 6",30000.0,100000.0,65000.0,70000.0
54,trà sữa tocotoco - nguyễn tri phương,10.762822,106.66842,"306 nguyễn tri phương, p. 4, quận 10, tp. hcm",café/dessert,"trà, sinh tố - nước ép, thức uống, trà sữa, sữa",09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,09:30 - 22:30,món việt,no,no,yes,28.000 -89.000,6.2,0.0,6.6,low,tp. hcm,quận 10,"306 nguyễn tri phương, p. 4",28000.0,89000.0,58500.0,61000.0
55,mì vịt tiềm a cón - quang trung,10.834256,106.664749,"557 quang trung, p. 10, gò vấp, tp. hcm",,,,,,,,,,,no,no,no,40.000 -80.000,6.4,0.0,0.0,low,tp. hcm,gò vấp,"557 quang trung, p. 10",40000.0,80000.0,60000.0,40000.0
